UniformRand-0.01,0.9030,0.8460,0.8230,0.7710,0.7110,0.6540,0.5950,0.5420,0.5450,0.4860,0.4360,0.4130,0.3650,0.3520,0.3470,0.3450,0.3140,0.2860,0.2440,0.2140,0.1720,0.1530,0.1340,0.1280,0.0990,0.1000,0.1320,0.1620,0.1810,0.2240,0.2220,0.2900,0.3060,0.2780,0.2980,0.2850,0.2520,0.2390,0.2360,0.2050,0.2480,0.2470,0.2950,0.3720,0.4040,0.4370,0.4980,0.5300,0.5780,0.6170,0.6360,0.6310,0.6290,0.6190,0.6360,0.6430,0.6410,0.6680,0.6780,0.7070,0.7110,0.7360,0.7560,0.7620,0.7850,0.8080,0.8360,0.8300,0.8520,0.8640,0.8840,0.8760,0.8800,0.8920,0.8730,0.8730,0.8730,0.8750,0.8670,0.8660,0.8640,0.8670,0.8570,0.8410
UniformRand-0.05,0.9030,0.8460,0.8230,0.7710,0.7130,0.6570,0.5980,0.5450,0.5490,0.4900,0.4400,0.4170,0.3690,0.3560,0.3490,0.3460,0.3150,0.2880,0.2470,0.2190,0.1770,0.1580,0.1390,0.1330,0.1040,0.1050,0.1350,0.1640,0.1810,0.2070,0.2140,0.2220,0.2230,0.1950,0.2110,0.1880,0.1550,0.1380,0.1410,0.1350,0.1380,0.1630,0.1720,0.1890,0.1940,0.1940,0.2010,0.1970,0.1880,0.1890,0.1930,0.1830,0.2040,0.2000,0.1940,0.1990,0.2150,0.2160,0.2170,0.2060,0.2240,0.2140,0.1870,0.1950,0.1760,0.1620,0.1360,0.1460,0.1280,0.1260,0.1010,0.1010,0.1030,0.0970,0.1140,0.1180,0.1200,0.1070,0.1150,0.1110,0.1830,0.2390,0.3140,0.3360
UniformRand-0.1,0.9030,0.8460,0.8210,0.7690,0.7080,0.6510,0.5920,0.5390,0.5410,0.4820,0.4310,0.4080,0.3620,0.3480,0.3440,0.3420,0.3110,0.2860,0.2480,0.2220,0.1860,0.1670,0.1480,0.1430,0.1140,0.1130,0.1430,0.1720,0.1880,0.2390,0.2360,0.2480,0.2650,0.2490,0.3320,0.3860,0.4410,0.4940,0.5630,0.6010,0.6910,0.7730,0.8500,0.9350,0.9320,0.9330,0.9400,0.9430,0.9390,0.9350,0.9330,0.9130,0.8940,0.8860,0.8920,0.8890,0.8760,0.8760,0.8820,0.8930,0.8910,0.9140,0.9290,0.9280,0.9360,0.9420,0.9550,0.9540,0.9600,0.9580,0.9620,0.9640,0.9700,0.9810,0.9770,0.9770,0.9770,0.9840,0.9780,0.9700,0.9640,0.9540,0.9480,0.9250
UniformRand-0.2,0.9030,0.8460,0.8210,0.7690,0.7130,0.6570,0.5980,0.5450,0.5500,0.4910,0.4400,0.4180,0.3730,0.3630,0.3550,0.3520,0.3210,0.2970,0.2570,0.2330,0.1970,0.1780,0.1630,0.1590,0.1290,0.1320,0.2130,0.2810,0.3560,0.4180,0.5090,0.6010,0.6810,0.7460,0.8160,0.8560,0.8640,0.8710,0.8700,0.8920,0.8660,0.8610,0.8640,0.8630,0.8700,0.8770,0.8780,0.8830,0.8900,0.8910,0.9070,0.8920,0.8820,0.8740,0.8800,0.8790,0.8620,0.8640,0.8630,0.8720,0.8700,0.8900,0.8980,0.8910,0.9020,0.9120,0.9310,0.9370,0.9490,0.9490,0.9570,0.9630,0.9730,0.9880,0.9830,0.9830,0.9830,0.9850,0.9830,0.9810,0.9830,0.9790,0.9710,0.9310
UniformRand-0.5,0.9030,0.8460,0.8220,0.7700,0.7220,0.6670,0.6120,0.5690,0.5800,0.5310,0.4950,0.4950,0.4800,0.5030,0.5230,0.5470,0.5530,0.5920,0.6370,0.6940,0.7310,0.7870,0.8270,0.8510,0.8780,0.8980,0.9310,0.9280,0.9250,0.9020,0.8970,0.8870,0.8860,0.8890,0.8690,0.8670,0.8780,0.8830,0.8750,0.8920,0.8940,0.9010,0.9030,0.9010,0.9090,0.9150,0.9220,0.9290,0.9270,0.9180,0.9140,0.9000,0.8790,0.8590,0.8620,0.8610,0.8450,0.8370,0.8450,0.8610,0.8590,0.8710,0.8960,0.9000,0.9100,0.9180,0.9340,0.9500,0.9560,0.9580,0.9720,0.9780,0.9780,0.9980,0.9960,0.9960,0.9960,0.9960,0.9960,0.9950,0.9940,0.9920,0.9870,0.9650
