AL-0.01,0.8220,0.7250,0.6580,0.6220,0.5840,0.5450,0.5610,0.5810,0.5850,0.5910,0.6040,0.7040,0.7920,0.8650,0.9500,1.0000,0.9050,0.8520,0.7620,0.6620,0.5620,0.5330,0.5080,0.4360,0.4110,0.3800,0.3940,0.4110,0.5010,0.6010,0.6990,0.6920,0.6200,0.6010,0.6190,0.6290,0.6760,0.7120,0.7120,0.7120,0.6700,0.6280,0.7210,0.8020,0.7830,0.7090,0.6550,0.5660,0.4810,0.4260,0.4280,0.4750,0.4530,0.4350,0.4390,0.5090,0.5160,0.5160,0.5360,0.5370,0.5380,0.5190,0.4690,0.4320,0.3830,0.3410,0.3790,0.4280,0.4330,0.4300,0.4170,0.4100,0.3900,0.4260,0.4720,0.5110,0.5350,0.5590,0.5660,0.5470,0.5390,0.5400,0.5860,0.5660,0.5430,0.5260,0.4660,0.3940,0.3890,0.3880,0.3500,0.3060,0.2650,0.2530,0.2420,0.2330,0.2420,0.2480,0.2240,0.2660,0.3280,0.3940,0.4390,0.4440,0.4490,0.4280,0.4350,0.4620,0.4930,0.4760,0.4660,0.4480,0.4390,0.4400,0.4410,0.4590,0.4610,0.4660,0.4710,0.4510,0.4070,0.3660,0.3330,0.3060,0.3100,0.3310,0.3430,0.3300,0.3150,0.3320
AL-0.05,0.8220,0.7440,0.6850,0.6910,0.7370,0.7480,0.7640,0.7840,0.7870,0.7710,0.7840,0.8630,0.9430,0.9740,0.9750,0.9750,0.9750,0.9620,0.9520,0.9270,0.8710,0.8730,0.8340,0.7880,0.7720,0.7590,0.7190,0.7180,0.7290,0.7760,0.8320,0.8310,0.7980,0.7730,0.7690,0.7510,0.7600,0.7740,0.7740,0.7740,0.6900,0.6380,0.7100,0.7760,0.7860,0.7870,0.7930,0.7910,0.7780,0.7440,0.7920,0.8240,0.8030,0.7910,0.7840,0.8020,0.7790,0.7330,0.7110,0.7070,0.7010,0.6800,0.6490,0.6110,0.5780,0.5460,0.5400,0.5320,0.5320,0.5410,0.5540,0.5620,0.5150,0.5020,0.4970,0.5020,0.5280,0.5600,0.5380,0.4720,0.4260,0.3970,0.4410,0.4510,0.4470,0.4280,0.3730,0.3170,0.3110,0.3300,0.3050,0.3590,0.3250,0.2830,0.2880,0.2910,0.3100,0.3220,0.3230,0.3550,0.4130,0.3780,0.4050,0.4310,0.4100,0.3770,0.3660,0.3710,0.3770,0.3690,0.3520,0.3380,0.3460,0.3710,0.4020,0.4410,0.4530,0.4750,0.4740,0.4510,0.4230,0.4030,0.3830,0.3670,0.3710,0.3810,0.3860,0.3630,0.3570,0.3760
AL-0.1,0.8220,0.7510,0.7100,0.7470,0.7940,0.8050,0.8010,0.8210,0.8240,0.8060,0.8190,0.8740,0.9360,0.9360,0.9360,0.9360,0.9560,0.9440,0.9350,0.9560,0.9400,0.9590,0.9340,0.9050,0.8930,0.8810,0.8480,0.8460,0.8560,0.8590,0.8750,0.8740,0.8350,0.7770,0.7720,0.7420,0.7350,0.7490,0.7490,0.7490,0.6660,0.6350,0.6990,0.7820,0.7870,0.8000,0.8340,0.8330,0.8310,0.7970,0.8510,0.8700,0.8540,0.8480,0.8490,0.8680,0.8140,0.7580,0.7140,0.7060,0.6950,0.6570,0.6270,0.5920,0.5650,0.5360,0.5570,0.5840,0.6050,0.6250,0.6420,0.6680,0.6150,0.5970,0.5860,0.5860,0.5890,0.5910,0.5600,0.4900,0.4380,0.4020,0.4470,0.4530,0.4470,0.4320,0.3850,0.3360,0.3240,0.3410,0.3160,0.3680,0.3330,0.2900,0.2920,0.2930,0.3160,0.3270,0.3360,0.3670,0.4230,0.3850,0.4110,0.4340,0.4120,0.3770,0.3610,0.3670,0.3750,0.3680,0.3640,0.3620,0.3700,0.3970,0.4200,0.4560,0.4860,0.5040,0.4980,0.4730,0.4310,0.3900,0.3620,0.3330,0.3400,0.3520,0.3470,0.3300,0.3250,0.3480
AL-0.2,0.8220,0.7660,0.7500,0.7870,0.8330,0.8440,0.8400,0.8600,0.8630,0.8440,0.8570,0.8930,0.9300,0.9300,0.9310,0.9310,0.9510,0.9460,0.9390,0.9640,0.9410,0.9640,0.9550,0.9400,0.9240,0.9150,0.8840,0.8840,0.8920,0.8920,0.9150,0.9140,0.8590,0.7780,0.7760,0.7430,0.7250,0.7300,0.7300,0.7290,0.6490,0.6080,0.6720,0.7630,0.7630,0.7470,0.7900,0.7890,0.7870,0.7540,0.8060,0.8370,0.8210,0.8170,0.8220,0.8680,0.8120,0.7490,0.6980,0.6840,0.6670,0.6240,0.5950,0.5620,0.5370,0.5110,0.5270,0.5430,0.5790,0.6130,0.6450,0.6830,0.6290,0.6050,0.5830,0.5700,0.5710,0.5780,0.5290,0.4430,0.3790,0.3330,0.3790,0.3910,0.4000,0.4010,0.3660,0.3300,0.3210,0.3450,0.3220,0.3750,0.3370,0.2910,0.2890,0.2780,0.2950,0.3090,0.3250,0.3510,0.4010,0.3610,0.3870,0.4120,0.3990,0.3710,0.3600,0.3600,0.3650,0.3620,0.3600,0.3570,0.3610,0.3810,0.3920,0.4280,0.4470,0.4620,0.4570,0.4350,0.3960,0.3580,0.3430,0.3200,0.3290,0.3400,0.3440,0.3340,0.3320,0.3560
AL-0.5,0.8220,0.8010,0.8020,0.8390,0.8850,0.8960,0.8920,0.9110,0.9140,0.8960,0.9090,0.9210,0.9410,0.9280,0.9290,0.9290,0.9490,0.9450,0.9400,0.9640,0.9400,0.9520,0.9480,0.9500,0.9370,0.9310,0.9170,0.9220,0.9280,0.9280,0.9520,0.9510,0.8890,0.8110,0.8040,0.7680,0.7510,0.7510,0.7510,0.7500,0.6730,0.6280,0.6940,0.7780,0.7790,0.7760,0.8030,0.8020,0.8000,0.7670,0.8180,0.8530,0.8400,0.8360,0.8450,0.8800,0.8240,0.7670,0.7180,0.7050,0.6900,0.6510,0.6180,0.5860,0.5630,0.5410,0.5650,0.5960,0.6290,0.6590,0.6840,0.7140,0.6610,0.6400,0.6190,0.6060,0.6000,0.5910,0.5490,0.4660,0.3950,0.3560,0.4030,0.4110,0.4110,0.4030,0.3640,0.3230,0.3110,0.3360,0.3230,0.3730,0.3340,0.2940,0.2980,0.2930,0.3110,0.3230,0.3370,0.3680,0.4250,0.3920,0.4210,0.4400,0.4170,0.3900,0.3790,0.3830,0.3880,0.3810,0.3750,0.3680,0.3740,0.3990,0.4240,0.4600,0.4850,0.5040,0.4980,0.4770,0.4410,0.4000,0.3710,0.3460,0.3480,0.3550,0.3540,0.3380,0.3360,0.3590
