ALR-0.01,0.7430,0.7100,0.7030,0.6760,0.6520,0.6040,0.5540,0.5210,0.5820,0.6190,0.6550,0.6450,0.6090,0.6060,0.5990,0.6230,0.6230,0.6080,0.5920,0.5680,0.5150,0.4920,0.4630,0.4440,0.4100,0.3870,0.3880,0.4110,0.4130,0.4370,0.4510,0.4420,0.4680,0.4400,0.4580,0.4520,0.4560,0.4540,0.4630,0.4410,0.4220,0.4340,0.4210,0.4310,0.4190,0.4030,0.3820,0.3750,0.3620,0.3720,0.3990,0.4180,0.4450,0.4620,0.4640,0.4830,0.5000,0.4910,0.4850,0.4900,0.5030,0.5070,0.4930,0.5080,0.4910,0.5150,0.5350,0.5010,0.5390,0.5620,0.5350,0.5030,0.5090,0.4740,0.4780,0.4520,0.4220,0.4590,0.4180,0.3800,0.3770,0.3910,0.3810,0.3910
ALR-0.05,0.7430,0.7100,0.7030,0.6760,0.6520,0.6040,0.5540,0.5210,0.5820,0.6190,0.6550,0.6450,0.6090,0.6060,0.5990,0.6230,0.6230,0.6080,0.5920,0.5680,0.5150,0.4920,0.4630,0.4440,0.4100,0.3870,0.3880,0.4110,0.4130,0.4370,0.4510,0.4420,0.4680,0.4400,0.4580,0.4520,0.4560,0.4540,0.4630,0.4410,0.4220,0.4340,0.4210,0.4310,0.4190,0.4030,0.3820,0.3750,0.3620,0.3720,0.3990,0.4180,0.4450,0.4620,0.4640,0.4830,0.5000,0.4910,0.4850,0.4900,0.5030,0.5070,0.4930,0.5080,0.4910,0.5150,0.5350,0.5010,0.5390,0.5620,0.5350,0.5030,0.5090,0.4740,0.4780,0.4520,0.4220,0.4590,0.4180,0.3800,0.3770,0.3910,0.3810,0.3910
ALR-0.1,0.7430,0.7100,0.7030,0.6760,0.6520,0.6040,0.5540,0.5210,0.5820,0.6190,0.6550,0.6450,0.6090,0.6060,0.5990,0.6230,0.6230,0.6080,0.5920,0.5680,0.5150,0.4920,0.4630,0.4440,0.4100,0.3870,0.3880,0.4110,0.4130,0.4370,0.4510,0.4420,0.4680,0.4400,0.4580,0.4520,0.4560,0.4540,0.4630,0.4410,0.4220,0.4340,0.4210,0.4310,0.4190,0.4030,0.3820,0.3750,0.3620,0.3720,0.3990,0.4180,0.4450,0.4620,0.4870,0.5580,0.6150,0.6620,0.7170,0.7600,0.8090,0.8410,0.8790,0.9190,0.9160,0.9060,0.9110,0.9070,0.9010,0.9070,0.8950,0.8990,0.8890,0.8930,0.9130,0.9120,0.9160,0.9180,0.9190,0.9040,0.9160,0.9180,0.9020,0.8980
ALR-0.2,0.7430,0.7100,0.7030,0.6760,0.6520,0.6040,0.5540,0.5210,0.5820,0.6190,0.6550,0.6450,0.6090,0.6060,0.5990,0.6230,0.6230,0.6080,0.5920,0.5680,0.5150,0.4920,0.4630,0.4440,0.4100,0.3870,0.3880,0.4110,0.4190,0.4820,0.5440,0.5850,0.6510,0.6940,0.7460,0.7850,0.8260,0.8610,0.8940,0.8900,0.8850,0.9060,0.9140,0.9120,0.9110,0.9120,0.9180,0.9190,0.9260,0.9260,0.9350,0.9250,0.9140,0.9180,0.9280,0.9290,0.9200,0.9210,0.9280,0.9240,0.9270,0.9350,0.9460,0.9390,0.9070,0.9110,0.9180,0.9150,0.9070,0.9130,0.9060,0.9100,0.9020,0.9110,0.9380,0.9370,0.9430,0.9470,0.9530,0.9550,0.9660,0.9680,0.9800,0.9580
ALR-0.5,0.7430,0.7100,0.7030,0.6760,0.6520,0.6040,0.5540,0.5210,0.5820,0.6190,0.6550,0.6850,0.6920,0.7110,0.7310,0.7770,0.8170,0.8560,0.8830,0.9160,0.9230,0.9260,0.9270,0.9100,0.9080,0.8740,0.8550,0.8340,0.8260,0.7990,0.8120,0.8120,0.8150,0.8400,0.8320,0.8630,0.8900,0.9140,0.9220,0.9510,0.9430,0.9410,0.9410,0.9390,0.9450,0.9450,0.9470,0.9450,0.9470,0.9510,0.9550,0.9470,0.9420,0.9420,0.9480,0.9530,0.9460,0.9520,0.9600,0.9620,0.9640,0.9700,0.9770,0.9700,0.9560,0.9540,0.9610,0.9590,0.9590,0.9570,0.9530,0.9570,0.9570,0.9660,0.9820,0.9860,0.9880,0.9900,0.9860,0.9840,0.9900,0.9900,0.9900,0.9590
