AL-0.01,0.9030,0.8460,0.8230,0.7710,0.7170,0.6610,0.6030,0.5510,0.5590,0.5020,0.4590,0.4410,0.3960,0.3860,0.3820,0.3830,0.3510,0.3240,0.2790,0.2510,0.2020,0.1780,0.1600,0.1550,0.1190,0.1200,0.1550,0.1910,0.2100,0.2550,0.2590,0.2680,0.2810,0.2510,0.2830,0.2730,0.2370,0.2360,0.2450,0.2100,0.2120,0.2170,0.1980,0.1970,0.1840,0.1640,0.1590,0.1370,0.1150,0.1250,0.1330,0.1640,0.1980,0.2260,0.2210,0.2380,0.2720,0.2830,0.2890,0.2690,0.2890,0.2570,0.2330,0.2360,0.2160,0.1890,0.1530,0.1230,0.1050,0.1010,0.0680,0.0560,0.0440,0.0110,0.0130,0.0090,0.0090,0.0070,0.0150,0.0210,0.0220,0.0240,0.0300,0.0660
AL-0.05,0.9030,0.8460,0.8230,0.7710,0.7170,0.6610,0.6030,0.5510,0.5590,0.5010,0.4600,0.4420,0.3980,0.3910,0.3880,0.3900,0.3580,0.3320,0.2890,0.2630,0.2150,0.1920,0.1760,0.1780,0.1460,0.1500,0.1890,0.2320,0.2590,0.3060,0.3140,0.3220,0.3480,0.3140,0.3510,0.3500,0.3260,0.3250,0.3280,0.3000,0.3180,0.3380,0.3110,0.3060,0.2950,0.2700,0.2730,0.2620,0.2660,0.2910,0.3140,0.3500,0.3930,0.4250,0.4290,0.4560,0.4760,0.4880,0.4990,0.4740,0.4720,0.4300,0.4050,0.4540,0.5130,0.5620,0.6160,0.6640,0.7110,0.7870,0.8350,0.9110,0.9830,0.9980,0.9980,1.0000,1.0000,1.0000,0.9970,0.9930,0.9890,0.9810,0.9700,0.9520
AL-0.1,0.9030,0.8460,0.8210,0.7690,0.7140,0.6580,0.5990,0.5470,0.5550,0.4970,0.4560,0.4410,0.3990,0.3910,0.3940,0.3990,0.3710,0.3550,0.3250,0.3200,0.2790,0.2680,0.2660,0.2800,0.2740,0.2770,0.3250,0.3640,0.4000,0.4360,0.4720,0.4860,0.5340,0.5790,0.6190,0.6460,0.6800,0.7080,0.7380,0.7660,0.8140,0.8750,0.8980,0.8950,0.8950,0.9070,0.9140,0.9220,0.9240,0.9220,0.9160,0.9120,0.8950,0.8810,0.8890,0.8940,0.8750,0.8770,0.8800,0.8920,0.8920,0.9000,0.9210,0.9260,0.9360,0.9380,0.9570,0.9550,0.9630,0.9630,0.9670,0.9710,0.9710,0.9840,0.9800,0.9790,0.9790,0.9850,0.9850,0.9830,0.9890,0.9830,0.9780,0.9600
AL-0.2,0.9030,0.8460,0.8210,0.7690,0.7180,0.6620,0.6040,0.5560,0.5660,0.5130,0.4740,0.4650,0.4310,0.4360,0.4470,0.4680,0.4690,0.4760,0.4810,0.5050,0.5040,0.5430,0.5690,0.5960,0.6230,0.6490,0.6940,0.7290,0.7650,0.7960,0.8330,0.8570,0.8920,0.9120,0.9090,0.9120,0.9220,0.9280,0.8990,0.8740,0.8720,0.8660,0.8660,0.8640,0.8620,0.8610,0.8650,0.8700,0.8900,0.9120,0.9130,0.9010,0.8840,0.8740,0.8850,0.8900,0.8710,0.8730,0.8840,0.8960,0.8920,0.9090,0.9270,0.9200,0.9270,0.9290,0.9480,0.9520,0.9560,0.9560,0.9670,0.9710,0.9740,0.9930,0.9910,0.9930,0.9930,0.9950,0.9950,0.9950,0.9960,0.9920,0.9860,0.9660
AL-0.5,0.9030,0.8460,0.8220,0.7700,0.7230,0.6690,0.6150,0.5800,0.5990,0.5690,0.5560,0.5930,0.6070,0.6480,0.6680,0.7150,0.7630,0.8040,0.8360,0.8760,0.8880,0.9070,0.9190,0.9210,0.9440,0.9410,0.9340,0.9230,0.9240,0.8990,0.8920,0.8890,0.8840,0.8920,0.8760,0.8780,0.8860,0.8950,0.8860,0.9040,0.9160,0.9160,0.9210,0.9200,0.9220,0.9240,0.9310,0.9340,0.9370,0.9390,0.9330,0.9210,0.9040,0.8960,0.9100,0.9150,0.8960,0.8960,0.9030,0.9090,0.9090,0.9240,0.9430,0.9400,0.9440,0.9410,0.9600,0.9590,0.9630,0.9630,0.9680,0.9690,0.9710,0.9840,0.9820,0.9880,0.9880,0.9950,0.9890,0.9870,0.9880,0.9860,0.9840,0.9670
