AL-0.01,0.5580,0.5450,0.5430,0.5410,0.5310,0.5210,0.5200,0.5170,0.5010,0.5020,0.4900,0.4940,0.4960,0.4880,0.4810,0.4810,0.4700,0.4740,0.4910,0.4920,0.5010,0.5090,0.5080,0.5170,0.5160,0.5240,0.5270,0.5260,0.5100,0.5100,0.5110,0.5090,0.5090,0.5100,0.5150,0.5090,0.5000,0.5020,0.5140,0.5070,0.5040,0.5040,0.5000,0.4920,0.4880
AL-0.05,0.5580,0.5450,0.5430,0.5410,0.5310,0.5210,0.5220,0.5200,0.5050,0.5060,0.4940,0.4980,0.5000,0.4930,0.4850,0.4850,0.4720,0.4730,0.4890,0.4880,0.4970,0.5040,0.5020,0.5090,0.5090,0.5170,0.5200,0.5210,0.5050,0.5070,0.5080,0.5070,0.5080,0.5100,0.5160,0.5100,0.5010,0.5030,0.5150,0.5080,0.5060,0.5120,0.5110,0.5040,0.5100
AL-0.1,0.5580,0.5450,0.5430,0.5410,0.5310,0.5210,0.5200,0.5170,0.5010,0.5020,0.4910,0.4950,0.4970,0.4890,0.4820,0.4820,0.4710,0.4750,0.4920,0.4930,0.5010,0.5100,0.5090,0.5160,0.5160,0.5250,0.5280,0.5280,0.5130,0.5140,0.5150,0.5130,0.5100,0.5150,0.5200,0.5110,0.5010,0.5000,0.5080,0.5010,0.4950,0.4940,0.4930,0.4840,0.4780
AL-0.2,0.5580,0.5450,0.5430,0.5410,0.5310,0.5220,0.5220,0.5220,0.5090,0.5100,0.4970,0.5010,0.5020,0.4970,0.4920,0.4920,0.4800,0.4810,0.4980,0.4990,0.5060,0.5080,0.4970,0.4960,0.4990,0.4890,0.4920,0.4900,0.4840,0.4820,0.4760,0.4800,0.4870,0.4880,0.4840,0.4960,0.5090,0.5070,0.4970,0.5010,0.5040,0.5050,0.5020,0.5070,0.5120
AL-0.5,0.5580,0.5450,0.5430,0.5410,0.5320,0.5240,0.5260,0.5260,0.5140,0.5110,0.5080,0.5130,0.5170,0.5200,0.5200,0.5230,0.5190,0.5250,0.5380,0.5450,0.5450,0.5520,0.5460,0.5440,0.5340,0.5380,0.5290,0.5220,0.5060,0.5000,0.5010,0.4950,0.4940,0.4950,0.5020,0.4940,0.4870,0.4870,0.4990,0.4980,0.4950,0.5000,0.5020,0.4980,0.4930
