AL-0.01,0.6250,0.6290,0.6390,0.6220,0.5970,0.5700,0.5450,0.5170,0.4790,0.4620,0.4300,0.4090,0.3940,0.3880,0.3860,0.3940,0.3980,0.4120,0.4430,0.4520,0.4670,0.4850,0.4950,0.5070,0.5120,0.5240,0.5320,0.5440,0.5420,0.5520,0.5570,0.5630,0.5690,0.5800,0.5840,0.5710,0.5520,0.5310,0.5210,0.4950,0.4800,0.4590,0.4400,0.4240,0.4200
AL-0.05,0.6250,0.6290,0.6390,0.6220,0.5970,0.5720,0.5490,0.5220,0.4870,0.4720,0.4410,0.4230,0.4120,0.4070,0.4090,0.4130,0.4130,0.4230,0.4510,0.4570,0.4690,0.4810,0.4870,0.4960,0.4960,0.5090,0.5190,0.5340,0.5320,0.5430,0.5520,0.5610,0.5660,0.5780,0.5830,0.5720,0.5530,0.5310,0.5200,0.4940,0.4780,0.4600,0.4400,0.4230,0.4160
AL-0.1,0.6250,0.6290,0.6390,0.6220,0.5980,0.5730,0.5490,0.5250,0.4920,0.4780,0.4510,0.4330,0.4210,0.4150,0.4190,0.4280,0.4310,0.4410,0.4550,0.4580,0.4660,0.4840,0.4990,0.5090,0.5050,0.5100,0.5200,0.5120,0.5020,0.4930,0.4850,0.4780,0.4610,0.4620,0.4700,0.4670,0.4670,0.4770,0.4900,0.4920,0.4950,0.4880,0.4830,0.4710,0.4610
AL-0.2,0.6250,0.6290,0.6390,0.6220,0.5960,0.5690,0.5450,0.5240,0.4950,0.4830,0.4610,0.4460,0.4360,0.4370,0.4460,0.4460,0.4460,0.4470,0.4670,0.4660,0.4740,0.4850,0.4920,0.5090,0.5100,0.5350,0.5430,0.5570,0.5550,0.5710,0.5750,0.5830,0.5870,0.5860,0.5880,0.5840,0.5750,0.5670,0.5660,0.5510,0.5370,0.5220,0.5000,0.4740,0.4580
AL-0.5,0.6250,0.6280,0.6380,0.6220,0.6000,0.5800,0.5640,0.5480,0.5350,0.5440,0.5360,0.5310,0.5340,0.5510,0.5670,0.5590,0.5510,0.5440,0.5500,0.5330,0.5240,0.5300,0.5260,0.5110,0.4940,0.5110,0.5190,0.5220,0.5060,0.4980,0.4900,0.4870,0.4800,0.4870,0.4950,0.5010,0.4980,0.5130,0.5360,0.5500,0.5640,0.5710,0.5700,0.5590,0.5490
