InvUnc-0.01,0.7430,0.7100,0.7030,0.6760,0.6520,0.6040,0.5500,0.5110,0.5700,0.5980,0.6320,0.6170,0.5770,0.5600,0.5430,0.5570,0.5340,0.5060,0.4800,0.4520,0.3920,0.3640,0.3290,0.3100,0.2650,0.2470,0.2680,0.2980,0.2900,0.3190,0.3040,0.2900,0.2990,0.2650,0.2890,0.2750,0.2400,0.2310,0.2320,0.1970,0.2020,0.2050,0.1880,0.1910,0.1750,0.1570,0.1520,0.1340,0.1240,0.1360,0.1480,0.1750,0.2090,0.2350,0.2350,0.2580,0.2910,0.3000,0.3040,0.2780,0.2920,0.2660,0.2400,0.2400,0.2180,0.1830,0.1480,0.1160,0.0960,0.0940,0.0600,0.0460,0.0340,0.0020,0.0020,0.0000,0.0000,0.0000,0.0060,0.0120,0.0120,0.0120,0.0120,0.0430
InvUnc-0.05,0.7430,0.7100,0.7030,0.6760,0.6520,0.6040,0.5500,0.5110,0.5680,0.5960,0.6280,0.6130,0.5740,0.5600,0.5460,0.5660,0.5430,0.5220,0.5000,0.4730,0.4210,0.4000,0.3640,0.3560,0.3270,0.3100,0.3330,0.3640,0.3600,0.3920,0.3930,0.3810,0.4010,0.3550,0.3670,0.3500,0.3250,0.3080,0.3110,0.2820,0.2670,0.2610,0.2350,0.2360,0.2150,0.1950,0.1940,0.1880,0.1820,0.1990,0.2160,0.2450,0.2890,0.3300,0.3410,0.3690,0.3900,0.3970,0.4140,0.4190,0.4500,0.4680,0.4700,0.4800,0.4710,0.4890,0.4970,0.4750,0.4630,0.4640,0.4370,0.4050,0.3910,0.3620,0.3500,0.3260,0.3190,0.3290,0.3200,0.2910,0.2860,0.2920,0.2920,0.3030
InvUnc-0.1,0.7430,0.7100,0.7030,0.6760,0.6520,0.6040,0.5550,0.5320,0.6060,0.6500,0.6900,0.6940,0.6680,0.6720,0.6780,0.7140,0.7300,0.7390,0.7310,0.7310,0.7010,0.7020,0.6930,0.6860,0.6780,0.6560,0.6560,0.6550,0.6630,0.6790,0.7210,0.6900,0.7080,0.6830,0.6820,0.6870,0.7030,0.7100,0.7060,0.6870,0.6460,0.6740,0.6590,0.6790,0.6620,0.6560,0.6630,0.6720,0.6850,0.6970,0.7150,0.7120,0.7410,0.7690,0.8010,0.8280,0.8270,0.8230,0.8240,0.8310,0.8480,0.8640,0.8780,0.8720,0.8220,0.8180,0.8250,0.8350,0.8390,0.8500,0.8370,0.8390,0.8190,0.8280,0.8670,0.8740,0.8780,0.8740,0.8730,0.8580,0.8670,0.8750,0.8760,0.8570
InvUnc-0.2,0.7430,0.7100,0.7030,0.6760,0.6520,0.6040,0.5530,0.5300,0.5980,0.6430,0.6830,0.6890,0.6670,0.6720,0.6700,0.7090,0.7340,0.7420,0.7490,0.7550,0.7260,0.7260,0.7200,0.7120,0.7120,0.6970,0.6910,0.6990,0.7120,0.7390,0.7730,0.7490,0.7740,0.7940,0.8090,0.8230,0.8470,0.8600,0.8560,0.8400,0.8410,0.8840,0.8960,0.9020,0.9020,0.9090,0.9170,0.9180,0.9210,0.9300,0.9350,0.9320,0.9290,0.9290,0.9400,0.9450,0.9340,0.9380,0.9490,0.9460,0.9490,0.9480,0.9550,0.9480,0.9200,0.9120,0.9190,0.9190,0.9190,0.9290,0.9210,0.9310,0.9290,0.9400,0.9640,0.9700,0.9760,0.9780,0.9740,0.9680,0.9780,0.9800,0.9820,0.9510
InvUnc-0.5,0.7430,0.7100,0.7030,0.6760,0.6520,0.6040,0.5580,0.5490,0.6340,0.6940,0.7400,0.7640,0.7590,0.7770,0.7960,0.8410,0.8790,0.8950,0.9010,0.9120,0.9130,0.9200,0.9220,0.9140,0.9120,0.9110,0.9160,0.9200,0.9230,0.9300,0.9280,0.9110,0.9170,0.9340,0.9330,0.9330,0.9360,0.9360,0.9320,0.9220,0.9250,0.9440,0.9520,0.9500,0.9480,0.9470,0.9470,0.9410,0.9410,0.9480,0.9500,0.9330,0.9200,0.9180,0.9280,0.9330,0.9220,0.9300,0.9380,0.9310,0.9330,0.9440,0.9570,0.9520,0.9280,0.9220,0.9330,0.9310,0.9330,0.9430,0.9440,0.9500,0.9520,0.9610,0.9500,0.8580,0.7600,0.6620,0.5680,0.4740,0.3770,0.2770,0.1770,0.1080
