cWin-0.01,0.9070,0.8410,0.8110,0.7530,0.7000,0.6510,0.5980,0.5550,0.5430,0.5140,0.5100,0.5060,0.4700,0.4680,0.4740,0.4830,0.4500,0.4200,0.3960,0.3600,0.3080,0.3130,0.3220,0.3330,0.3010,0.3060,0.3550,0.4020,0.4130,0.4640,0.4760,0.4540,0.4640,0.4450,0.4750,0.4760,0.4330,0.4160,0.4240,0.3900,0.3980,0.4280,0.4030,0.3960,0.3700,0.3450,0.3800,0.3820,0.3760,0.3910,0.4090,0.4220,0.4560,0.4890,0.5190,0.5480,0.5450,0.5500,0.5560,0.5600,0.5690,0.5770,0.5840,0.5740,0.5470,0.5490,0.5730,0.5480,0.5820,0.6070,0.5860,0.5800,0.5630,0.5730,0.5910,0.5810,0.5750,0.5960,0.5720,0.5480,0.5580,0.5510,0.5600,0.5540
cWin-0.05,0.9070,0.8410,0.8120,0.7570,0.7100,0.6740,0.6260,0.5930,0.5920,0.5730,0.5710,0.5970,0.5830,0.5990,0.6070,0.6250,0.6240,0.5980,0.5820,0.5720,0.5530,0.5540,0.5660,0.5790,0.5950,0.5850,0.6130,0.6480,0.6600,0.6850,0.6970,0.6840,0.7010,0.6890,0.6880,0.6990,0.6620,0.6800,0.6840,0.6750,0.6820,0.7160,0.6970,0.7060,0.6970,0.6850,0.7260,0.7120,0.7220,0.7390,0.7420,0.7390,0.7430,0.7520,0.7730,0.7900,0.7750,0.7860,0.7860,0.7870,0.7970,0.7990,0.8130,0.8120,0.8130,0.8130,0.8380,0.8270,0.8500,0.8580,0.8520,0.8530,0.8530,0.8660,0.8510,0.8500,0.8450,0.8620,0.8560,0.8460,0.8480,0.8520,0.8550,0.8360
cWin-0.1,0.9070,0.8410,0.8120,0.7550,0.7110,0.6770,0.6320,0.6120,0.6180,0.6080,0.6100,0.6440,0.6410,0.6630,0.6730,0.6950,0.7010,0.6830,0.6810,0.6750,0.6660,0.6560,0.6410,0.6500,0.6460,0.6330,0.6410,0.6630,0.6480,0.6560,0.6410,0.6190,0.6350,0.6150,0.6220,0.6240,0.6000,0.6110,0.6230,0.6100,0.6210,0.6540,0.6460,0.6500,0.6560,0.6490,0.6820,0.6700,0.6760,0.7000,0.7160,0.7260,0.7430,0.7720,0.7830,0.8040,0.8010,0.8180,0.8300,0.8400,0.8450,0.8480,0.8590,0.8500,0.8560,0.8570,0.8740,0.8650,0.8800,0.8840,0.8780,0.8730,0.8730,0.8850,0.8750,0.8760,0.8750,0.8810,0.8720,0.8650,0.8620,0.8690,0.8700,0.8570
cWin-0.2,0.9070,0.8470,0.8220,0.7840,0.7470,0.7160,0.6760,0.6640,0.6760,0.6750,0.6790,0.7120,0.7110,0.7230,0.7300,0.7520,0.7660,0.7530,0.7550,0.7510,0.7150,0.6940,0.6870,0.6970,0.7150,0.7060,0.7170,0.7390,0.7480,0.7560,0.7880,0.8110,0.8350,0.8320,0.8370,0.8380,0.8420,0.8520,0.8420,0.8420,0.8530,0.8670,0.8660,0.8750,0.8650,0.8720,0.8780,0.8680,0.8730,0.8860,0.8910,0.8930,0.8910,0.8950,0.9080,0.9200,0.9100,0.9200,0.9280,0.9250,0.9300,0.9310,0.9420,0.9320,0.9320,0.9260,0.9370,0.9300,0.9380,0.9440,0.9440,0.9460,0.9480,0.9640,0.9560,0.9590,0.9620,0.9700,0.9680,0.9640,0.9570,0.9570,0.9560,0.9420
cWin-0.5,0.9070,0.8500,0.8360,0.8060,0.7790,0.7610,0.7370,0.7310,0.7450,0.7500,0.7590,0.8020,0.7930,0.7960,0.7960,0.8090,0.8090,0.8050,0.8110,0.8070,0.8100,0.8120,0.8230,0.8420,0.8660,0.8680,0.8830,0.8840,0.8950,0.9010,0.9050,0.9000,0.9100,0.9140,0.9070,0.9010,0.9060,0.9180,0.9090,0.9140,0.9160,0.9270,0.9240,0.9210,0.9210,0.9270,0.9290,0.9270,0.9260,0.9260,0.9280,0.9230,0.9120,0.9150,0.9200,0.9250,0.9170,0.9220,0.9320,0.9340,0.9340,0.9430,0.9620,0.9480,0.9510,0.9450,0.9560,0.9520,0.9550,0.9600,0.9610,0.9600,0.9580,0.9760,0.9700,0.9720,0.9710,0.9770,0.9730,0.9710,0.9680,0.9690,0.9680,0.9560
