InvUnc-0.01,0.7200,0.7470,0.7300,0.2820,0.3490,0.2920,0.3180,0.3400,0.3060,0.3190,0.2920,0.3130,0.3240,0.2400,0.2660,0.2590,0.2660,0.2650,0.2610,0.2500,0.2310,0.2470,0.2610,0.2680,0.2820,0.2690,0.2370,0.2420,0.2360,0.2570,0.2790,0.2720,0.2430,0.2510,0.2540,0.2460,0.2750,0.2500,0.2450,0.2540,0.2550,0.2640,0.2410,0.2470,0.2350,0.2590,0.2720,0.2690,0.2990,0.2660,0.2290,0.2580,0.2630,0.2610,0.2560,0.2770,0.2410,0.2510,0.2620,0.2500,0.2520,0.2640,0.2360,0.2520,0.2650,0.2500,0.2470,0.2590,0.2570,0.2550,0.2600,0.2330,0.2710,0.2470,0.2690,0.2450,0.2650,0.2590,0.2660,0.2680,0.2580,0.2730,0.2540,0.2700,0.2500,0.2410,0.2540,0.2610,0.2430,0.2630,0.2680,0.2620,0.2460,0.2530,0.2430,0.2370,0.2370,0.2690,0.2590,0.2420,0.2620,0.2440,0.2490,0.2630,0.2570,0.2490,0.2450,0.2420,0.2410,0.2480,0.2660,0.2530,0.2570,0.2660,0.2450,0.2520,0.2680,0.2490,0.2490,0.2530,0.2700,0.2740,0.2450,0.2430,0.2430,0.2480,0.2690,0.2640,0.2490,0.2180,0.2530,0.2410,0.2500,0.2770,0.2470,0.2440,0.2370,0.2500,0.2480,0.2520,0.2390,0.2570,0.2540,0.2260,0.2480,0.2530,0.2760,0.2570,0.2400,0.2480,0.2380,0.2570,0.2380,0.2700,0.2690,0.2530,0.2640,0.2640,0.2390,0.2440,0.2480,0.2540,0.2460,0.2590,0.2600,0.2420,0.2550,0.2470,0.2470,0.2570,0.2430,0.2850,0.2520,0.2470,0.2680,0.2770,0.2620,0.2510,0.2590,0.2390,0.2630,0.2380,0.2680,0.2420,0.2610,0.2730,0.2470,0.2650,0.2650,0.2550,0.2430,0.2570,0.2680,0.2190,0.2380,0.2510,0.2750,0.2640,0.2470,0.2470
InvUnc-0.05,0.7200,0.7450,0.3840,0.3100,0.3000,0.3250,0.3060,0.2790,0.3130,0.3220,0.2720,0.2770,0.3070,0.3100,0.3150,0.3070,0.2970,0.3120,0.3020,0.3100,0.3140,0.3080,0.3070,0.3090,0.3170,0.3100,0.3180,0.2970,0.3300,0.3300,0.2990,0.2990,0.3150,0.3070,0.3090,0.3330,0.2990,0.3060,0.3070,0.2940,0.3030,0.3060,0.3360,0.3000,0.3240,0.2930,0.2900,0.2900,0.2690,0.3140,0.2970,0.2930,0.2990,0.2950,0.2980,0.2810,0.2960,0.3190,0.3020,0.3000,0.2940,0.3080,0.3000,0.2980,0.3070,0.3080,0.2910,0.3090,0.3010,0.2980,0.3090,0.3150,0.3100,0.3380,0.2980,0.3130,0.3030,0.3010,0.3270,0.3090,0.2840,0.2960,0.3150,0.2860,0.2880,0.3450,0.3290,0.2880,0.3120,0.3020,0.2920,0.3780,0.3480,0.3010,0.3150,0.3170,0.3140,0.2900,0.3030,0.3080,0.2710,0.3470,0.3050,0.2940,0.2870,0.3110,0.3160,0.2860,0.3040,0.3270,0.3120,0.2920,0.3130,0.3000,0.3050,0.3140,0.3000,0.3120,0.3200,0.3130,0.2990,0.2980,0.3120,0.2960,0.3040,0.2970,0.2940,0.2940,0.3110,0.3180,0.3260,0.3230,0.2950,0.3090,0.3080,0.3190,0.2980,0.3250,0.2960,0.3160,0.2990,0.2820,0.2860,0.3070,0.2980,0.2930,0.2690,0.3270,0.3260,0.3070,0.3130,0.2940,0.3050,0.3060,0.3240,0.3320,0.2750,0.3050,0.3130,0.3210,0.3230,0.2670,0.3290,0.3260,0.3190,0.3210,0.3180,0.3220,0.3240,0.3010,0.3210,0.2970,0.3060,0.3240,0.3030,0.2630,0.3020,0.3000,0.3060,0.3220,0.3170,0.3280,0.3020,0.3250,0.3120,0.2690,0.3070,0.3070,0.3050,0.3100,0.3230,0.3310,0.3020,0.2990,0.3210,0.3090,0.3210,0.3020,0.3340,0.3150
InvUnc-0.1,0.7200,0.7450,0.7330,0.4660,0.4770,0.4920,0.4790,0.4670,0.4740,0.4700,0.4960,0.4820,0.4860,0.4890,0.4690,0.4600,0.4880,0.5050,0.4990,0.4710,0.4800,0.4570,0.4670,0.4610,0.4920,0.4810,0.4680,0.4820,0.4630,0.4300,0.4710,0.4920,0.4740,0.4640,0.4890,0.4730,0.4810,0.4630,0.4740,0.4710,0.4880,0.4510,0.4710,0.4560,0.4630,0.4800,0.5210,0.5090,0.5080,0.5300,0.5280,0.5560,0.5330,0.5210,0.5250,0.5310,0.5070,0.5370,0.5090,0.5270,0.5360,0.5330,0.5110,0.5340,0.5230,0.5400,0.5380,0.5230,0.5470,0.5300,0.5080,0.5270,0.5110,0.5250,0.5440,0.5220,0.5320,0.5250,0.5240,0.5440,0.5140,0.5150,0.5430,0.5230,0.5420,0.5490,0.5340,0.5420,0.5480,0.5400,0.5150,0.5260,0.5130,0.5410,0.5230,0.5290,0.5080,0.5190,0.5240,0.5150,0.5080,0.5490,0.5070,0.5310,0.5350,0.5340,0.5290,0.5410,0.5120,0.5310,0.5250,0.5260,0.5390,0.5630,0.5320,0.5530,0.5200,0.5460,0.5270,0.5390,0.5530,0.5220,0.5490,0.5080,0.5430,0.5310,0.5170,0.4860,0.5250,0.5400,0.5510,0.5610,0.5490,0.5090,0.5150,0.5210,0.5530,0.5090,0.5370,0.5210,0.5280,0.5500,0.5160,0.5200,0.5250,0.5010,0.5060,0.5350,0.5280,0.5330,0.5510,0.5460,0.5050,0.5420,0.5000,0.5230,0.5380,0.5320,0.5190,0.5170,0.5000,0.5440,0.5340,0.5350,0.5170,0.5040,0.5300,0.5500,0.5320,0.4960,0.5120,0.5000,0.5160,0.5360,0.5360,0.5090,0.5120,0.5420,0.5220,0.5470,0.5470,0.5380,0.5320,0.5510,0.5130,0.5290,0.5200,0.5320,0.5480,0.4970,0.5170,0.5390,0.5200,0.5260,0.4930,0.5100,0.5410,0.5220,0.5270,0.5220
InvUnc-0.2,0.7200,0.7590,0.7280,0.4800,0.5210,0.4820,0.4870,0.4930,0.4520,0.5070,0.4590,0.4770,0.4900,0.4710,0.4900,0.4800,0.4700,0.4670,0.4810,0.5070,0.4820,0.5030,0.5020,0.5050,0.4850,0.5180,0.4900,0.5120,0.4780,0.5070,0.5070,0.5090,0.4940,0.4800,0.4990,0.4750,0.5150,0.5100,0.4670,0.4750,0.4640,0.5060,0.4830,0.4940,0.4830,0.5010,0.4980,0.5050,0.5170,0.5040,0.5070,0.5030,0.4960,0.4930,0.5040,0.5220,0.4860,0.4970,0.5310,0.5060,0.5440,0.5160,0.5260,0.5560,0.5390,0.5330,0.5480,0.6020,0.6050,0.5700,0.6110,0.6030,0.5820,0.6090,0.6180,0.5770,0.5970,0.6150,0.5870,0.6150,0.6120,0.5920,0.5980,0.5930,0.5860,0.6010,0.6060,0.6170,0.6210,0.6090,0.6140,0.6170,0.6060,0.6100,0.5810,0.6000,0.5850,0.5940,0.5960,0.5880,0.6010,0.6140,0.5760,0.6020,0.5940,0.6040,0.5820,0.5990,0.5800,0.5870,0.6060,0.5820,0.6040,0.6080,0.5960,0.6160,0.5760,0.5970,0.5760,0.6020,0.6230,0.6020,0.6150,0.5950,0.5870,0.5770,0.5730,0.5780,0.5840,0.5860,0.5660,0.5950,0.5990,0.5870,0.5720,0.5630,0.5820,0.5700,0.6030,0.5800,0.5960,0.5860,0.5990,0.6010,0.5790,0.5660,0.5900,0.6080,0.5770,0.5830,0.5690,0.6110,0.5790,0.5830,0.6030,0.5690,0.5930,0.6100,0.5600,0.5500,0.5990,0.5900,0.6060,0.5940,0.6050,0.5840,0.5730,0.5900,0.5810,0.5880,0.5710,0.5800,0.5990,0.6030,0.5830,0.5790,0.5930,0.5830,0.5820,0.5800,0.5880,0.6040,0.5860,0.6200,0.6010,0.5940,0.6050,0.6100,0.5950,0.5910,0.5760,0.5770,0.5860,0.5650,0.5710,0.6030,0.5940,0.6080,0.6130,0.5810
InvUnc-0.5,0.7200,0.7560,0.7260,0.7500,0.7510,0.7440,0.7300,0.7230,0.7320,0.7510,0.7230,0.7190,0.7330,0.7370,0.7300,0.7170,0.7480,0.7470,0.7650,0.7590,0.7190,0.7360,0.7290,0.7290,0.7260,0.7400,0.7490,0.7520,0.7370,0.7320,0.7370,0.7520,0.7300,0.7250,0.7740,0.7350,0.7420,0.7320,0.7300,0.7110,0.7390,0.7460,0.7330,0.7430,0.7390,0.7450,0.7220,0.7280,0.7310,0.7650,0.7500,0.7420,0.7420,0.7330,0.7370,0.7440,0.7330,0.7400,0.7560,0.7410,0.7460,0.7460,0.7260,0.7540,0.7320,0.7380,0.7600,0.7390,0.7540,0.7230,0.7480,0.7440,0.7310,0.7640,0.7430,0.7330,0.7480,0.7530,0.7360,0.7510,0.7340,0.7290,0.7510,0.7310,0.7360,0.7690,0.7450,0.7490,0.7560,0.7260,0.7540,0.7540,0.7460,0.7460,0.7010,0.7530,0.7270,0.7520,0.7360,0.7240,0.7470,0.7790,0.7340,0.7590,0.7260,0.7420,0.7300,0.7450,0.7370,0.7390,0.7570,0.7320,0.7510,0.7570,0.7560,0.7460,0.7260,0.7480,0.7360,0.7500,0.7520,0.7400,0.7730,0.7320,0.7430,0.7360,0.7190,0.7180,0.7350,0.7430,0.7430,0.7510,0.7420,0.7410,0.7330,0.7280,0.7410,0.7360,0.7400,0.7320,0.7370,0.7400,0.7480,0.7460,0.7280,0.7170,0.7260,0.7540,0.7570,0.7280,0.7260,0.7560,0.7350,0.7510,0.7490,0.7390,0.7380,0.7540,0.7190,0.7110,0.7440,0.7350,0.7610,0.7490,0.7570,0.7310,0.7440,0.7550,0.7490,0.7280,0.7370,0.7260,0.7520,0.7430,0.7420,0.7210,0.7360,0.7400,0.7350,0.7570,0.7330,0.7510,0.7430,0.7630,0.7540,0.7250,0.7520,0.7470,0.7380,0.7280,0.7280,0.7510,0.7340,0.7210,0.7190,0.7360,0.7390,0.7490,0.7700,0.7420
